Algorithm,Cost,Improvement,Time Limit,No Improvement Limit
Local Search with 2-opt and No Improvement Limit,75.06919125219,11.774642561736254,3,10000
Random Search,82.24039592604028,0,3,10000
Simple Local Search,76.41015813737549,7.089262792348408,3,10000
2-opt Local Search,74.19894280657068,9.777984442951082,3,10000
Local Search with No Improvement Limit,74.00133609916728,10.018263815610133,3,10000
Local Search with 2-opt and No Improvement Limit,74.19894280657068,9.777984442951082,3,10000
Random Search,84.04850126589714,0,10,10000
Simple Local Search,76.41015813737549,9.088018243605408,10,10000
2-opt Local Search,74.19894280657067,11.718898387213661,10,10000
Local Search with No Improvement Limit,101.96905232242227,-21.321678300760407,10,10000
Local Search with 2-opt and No Improvement Limit,74.19894280657067,11.718898387213661,10,10000
Random Search,82.77168334482565,0,15,10000
Simple Local Search,76.41015813737549,7.685629855983639,15,10000
2-opt Local Search,73.99982631274878,10.597654508889756,15,10000
Local Search with No Improvement Limit,92.55209991470257,-11.816138291076966,15,10000
Local Search with 2-opt and No Improvement Limit,73.99982631274878,10.597654508889756,15,10000
Random Search,83.05456567899208,0,20,10000
Simple Local Search,76.41015813737549,8.00005091507839,20,10000
2-opt Local Search,74.307852451975,10.531285252665509,20,10000
Local Search with No Improvement Limit,92.33468211391036,-11.173517505089558,20,10000
Local Search with 2-opt and No Improvement Limit,74.307852451975,10.531285252665509,20,10000
Random Search,87.27670200855943,0,3,50000
Simple Local Search,76.41015813737549,12.450681133801583,3,50000
2-opt Local Search,74.19894280657068,14.984249978540864,3,50000
Local Search with No Improvement Limit,75.51802799725817,13.4728670317401,3,50000
Local Search with 2-opt and No Improvement Limit,74.19894280657068,14.984249978540864,3,50000
Random Search,87.28083810432685,0,3,50000
Simple Local Search,76.41015813737549,12.454829952431972,3,50000
2-opt Local Search,74.10873595815309,15.091631144088161,3,50000
Local Search with No Improvement Limit,75.51802799725817,13.476967410657284,3,50000
Local Search with 2-opt and No Improvement Limit,74.10873595815309,15.091631144088161,3,50000
Random Search,82.93093015176844,0,3,50000
Simple Local Search,76.41015813737549,7.862895065157901,3,50000
2-opt Local Search,74.87007475836809,9.719962598572703,3,50000
Local Search with No Improvement Limit,75.51802799725817,8.938645859806734,3,50000
Local Search with 2-opt and No Improvement Limit,74.87007475836809,9.719962598572703,3,50000
Random Search,86.81032186607385,0,3,50000
Simple Local Search,76.41015813737549,11.980330800688835,3,50000
2-opt Local Search,74.46016826895726,14.226595791419506,3,50000
Local Search with No Improvement Limit,75.51802799725817,13.008008294493829,3,50000
Local Search with 2-opt and No Improvement Limit,74.46016826895726,14.226595791419506,3,50000
Random Search,89.1961587029955,0,3,50000
Simple Local Search,76.41015813737549,14.33469865915943,3,50000
2-opt Local Search,75.10357827750374,15.79953736843881,3,50000
Local Search with No Improvement Limit,75.51802799725817,15.334887628157437,3,50000
Local Search with 2-opt and No Improvement Limit,75.10357827750374,15.79953736843881,3,50000
Random Search,84.01244040045336,0,5,50000
Simple Local Search,76.41015813737549,9.048995871136297,5,50000
2-opt Local Search,73.99982631274878,11.91801361795764,5,50000
Local Search with No Improvement Limit,75.51802799725817,10.110898293997595,5,50000
Local Search with 2-opt and No Improvement Limit,73.99982631274878,11.91801361795764,5,50000
Random Search,78.34194682214853,0,20,50000
Simple Local Search,76.41015813737549,2.4658420720110206,20,50000
2-opt Local Search,74.59385319736273,4.784274295984369,20,50000
Local Search with No Improvement Limit,75.51802799725817,3.6046063947085734,20,50000
Local Search with 2-opt and No Improvement Limit,74.59385319736273,4.784274295984369,20,50000
Random Search,89.02005331895874,0,3,10
Simple Local Search,76.41015813737549,14.165229868378102,3,10
2-opt Local Search,75.1654312740694,15.563484325546565,3,10
Local Search with No Improvement Limit,75.51802799725817,15.16739747764791,3,10
Local Search with 2-opt and No Improvement Limit,75.1654312740694,15.563484325546565,3,10
Random Search,89.24596139988083,0,1,10
Simple Local Search,76.41015813737549,14.382503209296457,1,10
2-opt Local Search,74.19894280657067,16.86016751602863,1,10
Local Search with No Improvement Limit,75.51802799725817,15.382134034180492,1,10
Local Search with 2-opt and No Improvement Limit,74.19894280657067,16.86016751602863,1,10
Random Search,90.0192821196939,0,1,1
Simple Local Search,76.41015813737549,15.118009899504722,1,1
2-opt Local Search,75.38909497373665,16.252281512869946,1,1
